repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
Arjung27/DeepThinking,19,2201,3,0,0,0,2,4,0,0,Yes,not-diverse,2,8,1,3,2021-02-17 08:49:10+00:00,2024-12-15 04:57:31+00:00,0,9,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrenaa/DisCo,72,9060,6,0,0,8,7,40,23,4,No,not-diverse,2,133,10,11,2021-02-19 17:18:39+00:00,2025-01-10 00:01:35+00:00,7,9,3,4,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoonose/robust-filter,0,0,4,0,0,32,1,35,0,2,No,not-diverse,2,34,10,8,2018-03-13 03:42:33+00:00,2024-12-15 22:11:59+00:00,2,8,1,1,0,0,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi-w/Structural-Kernel-Learning-for-HDBBO,6,478,3,0,0,5,3,10,0,1,Yes,not-diverse,2,14,5,3,2017-06-11 15:00:05+00:00,2024-04-14 08:41:53+00:00,2,7,1,1,0,0,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
IliasZadik/double_orthogonal_ml,5,609,0,0,2,5,1,8,0,0,No,not-diverse,2,10,2,3,2018-06-06 02:34:11+00:00,2024-08-30 14:33:23+00:00,0,8,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
brain-research/mean-field-cnns,0,0,0,0,0,0,0,0,0,0,Yes,not-diverse,2,34,8,8,2018-07-08 20:41:54+00:00,2025-01-08 10:16:05+00:00,1,8,0,1,0,1,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
boseon-ai/Conditional-Temporal-Neural-Processes-with-Covariance-Loss,1,47,0,0,0,0,0,0,0,0,No,not-diverse,2,4,3,1,2021-10-25 04:41:13+00:00,2022-11-29 13:33:09+00:00,0,9,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrewgordonwilson/bayesgan,12,3218,2,0,0,24,13,95,0,0,Yes,not-diverse,2,1014,175,54,2017-11-04 01:29:54+00:00,2025-01-02 15:32:31+00:00,17,8,7,10,0,1,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,
junyanz/VON,68,5498,7,0,2,20,14,4,0,5,Yes,not-diverse,2,531,90,31,2018-10-26 02:11:52+00:00,2024-12-14 17:33:37+00:00,34,9,12,22,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
maciejzieba/binGAN,12,1556,0,0,0,2,0,15,0,0,No,not-diverse,2,37,10,6,2018-06-18 12:54:40+00:00,2024-05-06 16:44:03+00:00,0,8,0,0,0,0,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,
